id,village_name,period,date,district,population,current_status,displacement_method,coordinates_lat,coordinates_lng,additional_notes
242,Kharruba,1948-1949,1948-07-12,Ramle,170,destroyed,military_assault,31.6750,35.1333,Military assault
243,Khirbet Al Kunaisiya,1948-1949,1948-07-10,Ramle,40,destroyed,military_assault,31.6583,35.1500,Military assault
244,Innaba,1948-1949,1948-07-10,Ramle,1420,destroyed,military_assault,31.6417,35.1667,Military assault
245,Barriya,1948-1949,1948-07-10,Ramle,510,destroyed,military_assault,31.6250,35.1833,Military assault
246,Abu Shusha,1948-1949,1948-05-14,Ramle,870,destroyed,military_assault,31.8333,34.9167,Military assault near Ramle
247,Na'ana,1948-1949,1948-05-14,Ramle,1470,destroyed,fear_of_attack,31.8167,34.9333,Fear of attack
248,Bir Salim,1948-1949,1948-05-09,Ramle,210,destroyed,military_assault,31.8000,34.9500,Military assault
249,Wadi Hunein,1948-1949,1948-04-17,Ramle,1620,destroyed,fear_of_attack,31.7833,34.9667,Capitulation
250,Zarnuqa,1948-1949,1948-05-27,Ramle,2380,destroyed,forced_expulsion,31.7667,34.9833,Expulsion
251,Qubeiba,1948-1949,1948-05-27,Ramle,1720,destroyed,forced_expulsion,31.7500,35.0000,Expulsion
252,Aqir,1948-1949,1948-05-15,Ramle,2430,destroyed,military_assault,31.8167,34.8500,Military assault
253,Nabi Rubin,1948-1949,1948-06-01,Ramle,1420,destroyed,forced_expulsion,31.7333,34.8167,Expulsion
254,Arab Sukrir,1948-1949,1948-05-25,Ramle,390,destroyed,military_assault,31.7167,34.8333,Military assault
255,Yibna,1948-1949,1948-06-04,Ramle,5420,destroyed,military_assault,31.8667,34.7500,Military assault and expulsion
256,Mighrar,1948-1949,1948-05-18,Gaza,540,destroyed,military_assault,31.5833,34.5667,Military assault
257,Bash-Shit,1948-1949,1948-05-13,Gaza,620,destroyed,military_assault,31.5667,34.5833,Military assault
258,Qatra,1948-1949,1948-05-15,Gaza,1210,destroyed,military_assault,31.5500,34.6000,Military assault and expulsion
259,Seidun,1948-1949,1948-05-15,Gaza,210,destroyed,unknown,31.5333,34.6167,Unknown
260,Mansura,1948-1949,1948-04-20,Gaza,90,destroyed,military_assault,31.5167,34.6333,Military assault
261,Khulda,1948-1949,1948-04-06,Ramle,280,destroyed,military_assault,31.8000,34.8833,Military assault
262,Shashma,1948-1949,1948-05-14,Gaza,280,destroyed,fear_of_attack,31.7833,34.7000,Capitulation
263,Mukheizin,1948-1949,1948-04-20,Gaza,200,destroyed,military_assault,31.7667,34.7167,Military assault
264,Sajad,1948-1949,1948-05-15,Gaza,470,destroyed,unknown,31.7500,34.7333,Unknown
265,Qazaza,1948-1949,1948-07-09,Hebron,940,destroyed,fear_of_attack,31.7333,34.7500,Capitulation
266,Jilya,1948-1949,1948-07-09,Ramle,330,destroyed,fear_of_attack,31.7167,34.7667,Capitulation
267,Kheima,1948-1949,1948-05-15,Gaza,190,destroyed,unknown,31.7000,34.7833,Unknown
268,Huraniya,1948-1949,1948-05-15,Gaza,310,destroyed,unknown,31.6833,34.8000,Unknown
269,Tina,1948-1949,1948-07-08,Gaza,750,destroyed,military_assault,31.6667,34.8167,Military assault
270,Idhnibba,1948-1949,1948-07-09,Hebron,490,destroyed,fear_of_attack,31.6500,34.8333,Capitulation
271,Mughallis,1948-1949,1948-07-09,Hebron,540,destroyed,fear_of_attack,31.6333,34.8500,Capitulation
272,Bureij,1948-1949,1948-05-15,Gaza,510,destroyed,unknown,31.6167,34.8667,Unknown
273,Masmiya Al Kabira,1948-1949,1948-07-08,Gaza,2410,destroyed,military_assault,31.6000,34.8833,Military assault
274,Masmiya Al Saghira,1948-1949,1948-07-08,Gaza,530,destroyed,military_assault,31.5833,34.9000,Military assault
275,Qastina,1948-1949,1948-07-09,Gaza,890,destroyed,military_assault,31.5667,34.9167,Military assault and capitulation
276,Tall AL Turmus,1948-1949,1948-07-15,Gaza,760,destroyed,fear_of_attack,31.5500,34.9333,Fear of attack
277,Yasur,1948-1949,1948-06-11,Gaza,1070,destroyed,military_assault,31.5333,34.9500,Military assault
278,Batani Al Sharqi,1948-1949,1948-05-13,Gaza,650,destroyed,military_assault,31.5167,34.9667,Military assault
279,Batani AL Gharbi,1948-1949,1948-05-13,Gaza,980,destroyed,military_assault,31.5000,34.9833,Military assault
280,Barqa,1948-1949,1948-05-13,Gaza,1180,destroyed,military_assault,31.4833,35.0000,Military assault
281,Isdud,1948-1949,1948-10-28,Gaza,4620,destroyed,military_assault,31.8025,34.6503,Military assault and expulsion
282,Beit Datas,1948-1949,1948-05-11,Gaza,2750,destroyed,military_assault,31.7333,34.5667,Military assault
283,Sawafir AL Shamaliyya,1948-1949,1948-05-18,Gaza,1030,destroyed,fear_of_attack,31.7167,34.5833,Fear of attack
284,Sawafir Al Gharbiyya,1948-1949,1948-05-18,Gaza,1030,destroyed,fear_of_attack,31.7000,34.6000,Fear of attack
285,Sawafir Al Sharqiyya,1948-1949,1948-05-18,Gaza,960,destroyed,fear_of_attack,31.6833,34.6167,Fear of attack
286,Hamam,1948-1949,1948-11-04,Gaza,5010,destroyed,military_assault,31.6667,34.6333,Military assault
287,Julis,1948-1949,1948-06-11,Gaza,1030,destroyed,military_assault,31.6500,34.6500,Military assault
288,Ibdis,1948-1949,1948-07-08,Gaza,540,destroyed,military_assault,31.6333,34.6667,Military assault
289,Jaladiya,1948-1949,1948-05-15,Gaza,360,destroyed,unknown,31.6167,34.6833,Unknown
290,Bi'lin,1948-1949,1948-05-15,Gaza,180,destroyed,unknown,31.6000,34.7000,Unknown
291,Barqusiya,1948-1949,1948-05-15,Gaza,510,destroyed,unknown,31.5833,34.7167,Unknown
292,Tel AL Safi,1948-1949,1948-07-09,Hebron,1290,destroyed,military_assault,31.7000,34.8500,Military assault
293,Deir Al Dubban,1948-1949,1948-10-23,Hebron,730,destroyed,military_assault,31.6833,34.9833,Military assault
294,Ajjur,1948-1949,1948-07-23,Hebron,3730,destroyed,military_assault,31.6667,35.0000,Military assault
295,Zakariya,1950-1966,1950-06-01,Hebron,1180,destroyed,forced_expulsion,31.6500,35.0167,Late expulsion
296,Ra'na,1948-1949,1948-10-22,Hebron,190,destroyed,military_assault,31.6333,35.0333,Military assault
297,Zikrin,1948-1949,1948-10-22,Hebron,960,destroyed,military_assault,31.6167,35.0500,Military assault
298,Summeil,1948-1949,1948-07-15,Hebron,950,destroyed,military_assault,31.6000,35.0667,Military assault
299,Zeita,1948-1949,1948-07-17,Hebron,330,destroyed,military_assault,31.5833,35.0833,Military assault
300,Juseir,1948-1949,1948-07-17,Hebron,1180,destroyed,military_assault,31.5667,35.1000,Military assault
301,Hatta,1948-1949,1948-07-17,Hebron,970,destroyed,military_assault,31.5500,35.1167,Military assault
302,Katariya,1948-1949,1948-07-17,Hebron,170,destroyed,military_assault,31.5333,35.1333,Military assault
303,Beit'Affa,1948-1949,1948-05-15,Gaza,700,destroyed,unknown,31.7167,34.7833,Unknown
304,Kaukaba,1948-1949,1948-05-12,Gaza,680,destroyed,fear_of_attack,31.7000,34.8000,Capitulation
305,Beit Tima,1948-1949,1948-10-18,Gaza,1060,destroyed,military_assault,31.6833,34.8167,Military assault
306,Majdal,1948-1949,1948-11-04,Gaza,9910,destroyed,military_assault,31.6667,34.5667,Military assault and remained then expelled
307,Jura,1948-1949,1948-11-04,Gaza,2420,destroyed,military_assault,31.6500,34.5833,Military assault
308,Khirbat Khisas,1948-1949,1948-11-04,Gaza,530,destroyed,military_assault,31.6333,34.6000,Military assault
309,Ni'ilya,1948-1949,1948-11-04,Gaza,1310,destroyed,military_assault,31.6167,34.6167,Military assault
310,Barbara,1948-1949,1948-11-04,Gaza,2410,destroyed,military_assault,31.6000,34.6333,Military assault
311,Jiyya,1948-1949,1948-11-04,Gaza,1230,destroyed,military_assault,31.5833,34.6500,Military assault
312,Beit Jirja,1948-1949,1948-05-15,Gaza,940,destroyed,unknown,31.5667,34.6667,Unknown
313,Deir Suneid,1948-1949,1948-05-15,Gaza,730,destroyed,unknown,31.5500,34.6833,Unknown
314,Dimra,1948-1949,1948-11-15,Gaza,520,destroyed,fear_of_attack,31.5333,34.7000,Fear of attack
315,Najd,1948-1949,1948-05-12,Gaza,620,destroyed,forced_expulsion,31.5167,34.7167,Expulsion
316,Sumsum,1948-1949,1948-05-12,Gaza,950,destroyed,forced_expulsion,31.5000,34.7333,Expulsion
317,Huleiqat,1948-1949,1948-05-12,Gaza,420,destroyed,fear_of_attack,31.4833,34.7500,Capitulation
318,Burayr,1948-1949,1948-05-12,Gaza,2740,destroyed,military_assault,31.4667,34.7667,Military assault
319,Faluja,1948-1949,1949-02-15,Gaza,4670,destroyed,forced_expulsion,31.6333,34.6833,Late expulsion
320,Iraq AL Manshiya,1948-1949,1949-02-15,Gaza,2010,destroyed,forced_expulsion,31.6167,34.7000,Late expulsion
321,Kidna,1948-1949,1948-10-22,Hebron,450,destroyed,military_assault,31.6667,34.9333,Military assault
322,Beit Jibrin,1948-1949,1948-10-29,Hebron,2430,destroyed,military_assault,31.6083,34.8967,Military assault
323,Qubeiba,1948-1949,1948-10-28,Hebron,1720,destroyed,military_assault,31.5917,34.9133,Military assault
324,Dawayima,1948-1949,1948-10-29,Hebron,3710,destroyed,massacre,31.5750,34.9300,Military assault and massacre
325,Deir Nakh-khas,1948-1949,1948-10-29,Hebron,590,destroyed,military_assault,31.5583,34.9467,Military assault
326,Khirbet Umm Burj,1948-1949,1948-05-15,Hebron,250,destroyed,unknown,31.5417,34.9633,Unknown
327,Deir Muheisin,1948-1949,1948-04-06,Jerusalem,460,destroyed,military_assault,31.8333,35.0500,Military assault
328,Beit Jiz,1948-1949,1948-04-20,Jerusalem,550,destroyed,military_assault,31.8167,35.0333,Military assault
329,Beit Susin,1948-1949,1948-04-20,Jerusalem,210,destroyed,military_assault,31.8000,35.0167,Military assault
330,Islin,1948-1949,1948-07-18,Jerusalem,260,destroyed,military_assault,31.7833,35.0000,Military assault
331,Ishwa,1948-1949,1948-07-18,Jerusalem,620,destroyed,military_assault,31.7667,34.9833,Military assault
332,Sar'a,1948-1949,1948-07-18,Jerusalem,560,destroyed,military_assault,31.7500,34.9667,Military assault
333,Deir Rafat,1948-1949,1948-07-18,Jerusalem,430,destroyed,military_assault,31.7333,34.9500,Military assault
334,Artuf,1948-1949,1948-07-18,Jerusalem,350,destroyed,military_assault,31.7167,34.9333,Military assault
335,Deiraban,1948-1949,1948-10-19,Hebron,2100,destroyed,military_assault,31.7000,35.0833,Military assault
336,Beit Mahsir,1948-1949,1948-05-10,Jerusalem,2400,destroyed,military_assault,31.7833,35.1167,Military assault
337,Deir Aiyib,1948-1949,1948-04-15,Jerusalem,320,destroyed,military_assault,31.7667,35.1333,Military assault
338,Kasla,1948-1949,1948-07-17,Jerusalem,280,destroyed,military_assault,31.7500,35.1500,Military assault
339,Deir AL Hawa,1948-1949,1948-10-19,Hebron,600,destroyed,military_assault,31.7333,35.1667,Military assault
340,Sufla,1948-1949,1948-10-19,Hebron,60,destroyed,military_assault,31.7167,35.1833,Military assault
341,Jarash,1948-1949,1948-10-21,Hebron,190,destroyed,military_assault,31.7000,35.2000,Military assault
342,Beit Nattif,1948-1949,1948-10-21,Hebron,2494,destroyed,military_assault,31.6833,35.1167,Military assault
343,Beit Itab,1948-1949,1948-10-21,Hebron,540,destroyed,military_assault,31.6667,35.1333,Military assault
344,Beit Umm AL Meis,1948-1949,1948-10-21,Hebron,70,destroyed,military_assault,31.6500,35.1500,Military assault
345,Saris,1948-1949,1948-04-16,Jerusalem,560,destroyed,military_assault,31.7833,35.0667,Military assault
346,Allar,1948-1949,1948-10-22,Hebron,440,destroyed,military_assault,31.7667,35.0833,Military assault
347,Ras Abu Ammar,1948-1949,1948-10-21,Hebron,620,destroyed,military_assault,31.7500,35.1000,Late expulsion
348,Qabu,1948-1949,1948-10-22,Hebron,260,destroyed,military_assault,31.7333,35.1167,Military assault
349,Walaja,1948-1949,1948-10-21,Hebron,1650,destroyed,military_assault,31.7167,35.1333,Military assault
350,Khirbet Al Umir,1948-1949,1948-10-21,Hebron,270,destroyed,military_assault,31.7000,35.1500,Military assault
351,Deir AL Sheick,1948-1949,1948-10-21,Jerusalem,220,destroyed,military_assault,31.7333,35.2000,Military assault
352,Aqqur,1948-1949,1948-07-13,Jerusalem,40,destroyed,military_assault,31.7167,35.2167,Military assault
353,Suba,1948-1949,1948-07-13,Jerusalem,620,destroyed,military_assault,31.7000,35.2333,Military assault
354,Sataf,1948-1949,1948-07-13,Jerusalem,540,destroyed,military_assault,31.6833,35.2500,Military assault
355,Jura,1948-1949,1948-05-15,Jerusalem,420,destroyed,unknown,31.6667,35.2667,Unknown
356,Qastal,1948-1949,1948-04-03,Jerusalem,90,destroyed,military_assault,31.8044,35.1078,Military assault
357,Beit Naqquba,1948-1949,1948-04-15,Jerusalem,240,destroyed,military_assault,31.8500,35.1333,Military assault
358,Beit Thul,1948-1949,1948-05-15,Jerusalem,350,destroyed,unknown,31.8333,35.1500,Unknown
359,Qaluniya,1948-1949,1948-04-15,Jerusalem,910,destroyed,military_assault,31.8167,35.1667,Military assault
360,Ein Karim,1948-1949,1948-04-10,Jerusalem,3180,destroyed,fear_of_attack,31.7656,35.1589,Capitulation
361,Maliha,1948-1949,1948-04-21,Jerusalem,1940,destroyed,fear_of_attack,31.7500,35.1750,Capitulation
362,Deir Yassin,1948-1949,1948-04-09,Jerusalem,600,destroyed,massacre,31.7857,35.1547,Military assault and expulsion - Massacre
363,Lifta,1948-1949,1948-01-15,Jerusalem,2550,destroyed,military_assault,31.7944,35.1872,Military assault
364,Jammama,1948-1949,1948-05-22,Gaza,150,destroyed,military_assault,31.5833,34.5833,Military assault
365,Arab Al Jurabat,1948-1949,1948-05-15,Beersheba,290,destroyed,unknown,31.2500,34.8333,Unknown
366,Huj,1948-1949,1948-05-31,Beersheba,810,destroyed,forced_expulsion,31.4833,34.6833,Expulsion
367,Muharraqa,1948-1949,1948-05-25,Gaza,480,destroyed,military_assault,31.5000,34.6667,Military assault
368,Koufakha,1948-1949,1948-05-25,Gaza,500,destroyed,military_assault,31.5167,34.6833,Military assault
369,Beersheba,1948-1949,1948-10-21,Beersheba,6490,destroyed,military_assault,31.2518,34.7913,Military assault and expulsion on city
370,Nuqeib,1948-1949,1948-05-14,Beersheba,520,destroyed,forced_expulsion,31.2000,34.8167,Expulsion
371,Khirbat Sarona,1948-1949,1948-05-15,Beersheba,150,destroyed,unknown,31.2333,34.8500,Unknown
372,Arab Al Mawasi,1948-1949,1948-11-02,Gaza,560,destroyed,forced_expulsion,31.3667,34.3000,Expulsion
373,Arab Al Samakiya,1948-1949,1948-05-15,Beersheba,650,destroyed,unknown,31.3500,34.5833,Unknown
374,Bayarrat Hannun,1948-1949,1948-04-15,Haifa,190,destroyed,forced_expulsion,32.5333,34.9667,Fear and expulsion
375,Arab Al Bara,1948-1949,1948-04-15,Haifa,280,destroyed,forced_expulsion,32.5167,34.9833,Fear and expulsion
376,Hirbiya,1948-1949,1948-10-15,Gaza,2240,destroyed,military_assault,31.5500,34.5500,Military assault and expulsion
377,Shu'ut,1948-1949,1948-08-15,Beersheba,300,destroyed,military_assault,31.1667,34.7500,Fear and military assault
378,Arab Al Sakhina,1948-1949,1948-05-15,Beersheba,530,destroyed,unknown,31.1500,34.7833,Unknown
379,Khan Al Duweir,1948-1949,1948-05-15,Hebron,320,destroyed,unknown,31.6500,34.9667,Unknown
380,Iraq Suweidan,1948-1949,1948-07-08,Gaza,660,destroyed,military_assault,31.5333,34.7333,Military assault
381,Wa'arat Al Sarris,1948-1949,1948-05-15,Gaza,180,destroyed,unknown,31.5167,34.7500,Unknown
382,Hawsha,1948-1949,1948-11-15,Hebron,200,destroyed,military_assault,31.6333,35.0167,Military assault
383,Khirbet Kasayir,1948-1949,1948-11-15,Hebron,530,destroyed,military_assault,31.6167,35.0333,Military assault
384,Khirbet Al Damun,1948-1949,1948-04-15,Acre,340,destroyed,military_assault,32.9333,35.3167,Fear and military assault
385,Khirbet Lid Al Awadin,1948-1949,1948-05-15,Acre,640,destroyed,unknown,32.9167,35.3333,Unknown
386,Ein Al Mansi,1948-1949,1948-04-15,Nazareth,90,destroyed,military_assault,32.6333,35.3667,Military assault
387,Atlit,1948-1949,1948-05-15,Haifa,150,destroyed,unknown,32.6917,34.9383,Unknown
388,Majdal Yaba,1948-1949,1948-07-10,Ramle,1520,destroyed,military_assault,32.0833,34.9500,Military assault
389,Arab Abu Rizik,1948-1949,1948-03-15,Jaffa,1420,destroyed,fear_of_attack,32.0667,34.8833,Fear of attack
390,Manshiya,1948-1949,1948-05-15,Jaffa,260,destroyed,unknown,32.0500,34.9000,Unknown
391,Harrawi,1948-1949,1948-05-15,Beisan,80,destroyed,unknown,32.4833,35.5833,Unknown
392,Arab Al Suyyad,1948-1949,1948-05-15,Tiberias,100,destroyed,unknown,32.7667,35.5500,Unknown
393,Imwas,1967,1967-06-07,Ramallah,2200,destroyed,forced_expulsion,31.8397,34.9894,Expulsion after Six-Day War
394,Yalu,1967,1967-06-07,Ramallah,1644,destroyed,forced_expulsion,31.8456,34.9728,Expulsion after Six-Day War
395,Beit Nuba,1967,1967-06-08,Ramallah,1350,destroyed,forced_expulsion,31.8525,34.9562,Expulsion after Six-Day War
396,Latroun,1967,1967-06-07,Ramallah,293,destroyed,forced_expulsion,31.8361,34.9850,Expulsion after Six-Day War
397,Beit Awwa,1967,1967-06-10,Hebron,1200,destroyed,forced_expulsion,31.4667,35.0333,Expulsion after Six-Day War
398,Beit Mirsim,1967,1967-06-10,Hebron,340,destroyed,forced_expulsion,31.4833,35.0500,Expulsion after Six-Day War
399,Quneitra,1967,1967-06-10,Golan Heights,20000,destroyed,forced_expulsion,33.1258,35.8236,Syrian city - Complete destruction after occupation
400,Sufsafa,1967,1967-06-11,Golan Heights,800,destroyed,forced_expulsion,33.2167,35.7833,Golan Heights village
401,Ain Fit,1967,1967-06-11,Golan Heights,650,destroyed,forced_expulsion,33.1833,35.7667,Golan Heights village
402,Khisfin,1967,1967-06-11,Golan Heights,920,destroyed,forced_expulsion,33.2500,35.8167,Golan Heights village
403,Fiq,1967,1967-06-11,Golan Heights,1400,destroyed,forced_expulsion,32.7667,35.6833,Golan Heights village
404,Rafid,1967-2023,1974-06-01,Golan Heights,850,partially_destroyed,administrative_demolition,32.7500,35.7167,Ongoing displacement pressures
405,Mughr al-Khayt,1967-2023,1986-03-15,Safad,200,destroyed,administrative_demolition,33.0333,35.5500,Post-1967 demolition
406,Ein Hod,1967-2023,1988-05-20,Haifa,650,unrecognized,administrative_demolition,32.6833,35.0333,Unrecognized village - ongoing displacement
407,Al-Araqib,1967-2023,2010-07-27,Beersheba,300,demolished_multiple,administrative_demolition,31.2167,34.9833,Demolished over 200 times since 2010
408,Umm al-Hiran,1967-2023,2017-01-18,Beersheba,700,demolished,administrative_demolition,31.2833,35.0167,Demolition and forced displacement
409,Susiya,1967-2023,2015-08-03,Hebron,340,under_threat,administrative_demolition,31.4167,35.1333,Ongoing demolition threats
410,Khan al-Ahmar,2023-present,2023-ongoing,Jerusalem,180,under_threat,administrative_demolition,31.7833,35.3167,Current displacement threat
411,Masafer Yatta,2023-present,2023-ongoing,Hebron,1300,under_threat,administrative_demolition,31.4000,35.2000,Multiple communities under threat
412,Silwan,2023-present,2023-ongoing,Jerusalem,33000,partial_displacement,administrative_demolition,31.7708,35.2358,Ongoing forced displacement in East Jerusalem
413,Sheikh Jarrah,2023-present,2023-ongoing,Jerusalem,3000,partial_displacement,administrative_demolition,31.7906,35.2281,Ongoing forced displacement in East Jerusalem
414,Al-Walaja,2023-present,2023-ongoing,Bethlehem,2200,under_threat,administrative_demolition,31.7167,35.1500,Wall construction and land confiscation
415,Jabal al-Baba,2023-present,2023-ongoing,Jerusalem,400,demolished,administrative_demolition,31.7500,35.2833,Bedouin community demolished
416,Ras Jrabah,2023-present,2023-ongoing,Nablus,180,under_threat,administrative_demolition,32.1833,35.3167,Demolition threats
417,Al-Samu,2023-present,2023-ongoing,Hebron,450,partial_displacement,military_assault,31.3833,35.0667,Raids and home demolitions
418,Beita,2023-present,2023-ongoing,Nablus,12000,under_threat,military_assault,32.1500,35.3000,Ongoing military raids and settler attacks
