incident_id,facility_id,facility_name,starting_date,ending_date,attack_type,result,description,full_discription,source_url_1,source_url_2,archived_resources,has_image,image_url,archived_image,video_url,archived_video,civilians_killed,civilians_injured,hw_killed,hw_injured,added_by,reviewed_by,Column 1,submission_id,added_by,reviewed_by,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8
INC-044,FAC-006,Palestine Technical College,,,,,,,,,,Yes,"https://www.thenationalnews.com/mena/2024/03/01/gaza-israel-universities-war/ , https://www.nbcnews.com/specials/gaza-universities-destroyed-israel-military-war/index.html ",,https://x.com/AJEnglish/status/1748435156816257196,,,,,,Tally,,View Incident,,,,,,,,,,
INC-045,FAC-007,University College of Applied Sciences (UCAS),2000-08-24,,Access Restricted,Israeli Military base,Israeli occupation forces turn the University College of Applied Sciences into a military base in August 2024.,,,,,Yes,,,https://www.youtube.com/shorts/vTwuTkzTCwU?app=desktop,,,,,,Tally,,View Incident,,,,,,,,,,
INC-046,FAC-007,University College of Applied Sciences (UCAS),2024-03-08,,Bombardment,Total destruction,"Army forces incursion into the Tel al-Hawa neighborhood carried out blasting, detonation and shelling of the buildings of the university college and completely destroyed them",,https://gazaeducationsector.palestine-studies.org/en/node/3518,,,Yes,https://x.com/ytirawi/status/1793628894245118205,,,,,,,,Tally,,View Incident,,,,,,,,,,
INC-047,FAC-007,University College of Applied Sciences (UCAS),19/10/2023,,Bombardment (Vicinity),College severly damaged,The University College was severely damaged due to direct bombardment in Tel al-Hawa neighborhood.,,https://www.theguardian.com/world/2023/dec/31/israeli-airstrikes-kill-dozens-in-gaza-netanyahu-hamas,,,Yes,,,"https://www.facebook.com/reel/696434100203891 , https://www.facebook.com/watch/?v=426619863263022 ",,,,,,Tally,,View Incident,,,,,,,,,,
INC-048,FAC-007,University College of Applied Sciences (UCAS),19/10/2023,,Airstrike,Campus attacked,Israel bombed and destroyed the campus.,,https://www.scholarsatrisk.org/report/2023-10-19-university-college-of-applied-sciences-gaza/,"https://www.middleeasteye.net/news/war-gaza-israel-killing-academics-educide-campaigners-say , https://voices.uchicago.edu/scholasticide/timeline/ ",,Yes,,,https://x.com/ytirawi/status/1789942261209325757?s=46&fbclid=IwZXh0bgNhZW0CMTAAAR3j1RdjkSsbE9GV1GA9V5aEyAkGwqGc-FMhED5EGzZOcazau1nfvQL8kZw_aem_ZmFrZWR1bW15MTZieXRlcw,,,,,,Tally,,View Incident,,,,,,,,,,
INC-049,FAC-007,University College of Applied Sciences (UCAS),22/01/24,22/01/24,Bombardment,Shelled on 22 January while sheltering displaced families. ,,,https://genocide.live/14500,"War on Gaza: Killing of Gaza’s academics amounts to ‘educide,’ say campaigners | Middle East Eye",,No,,,,,3,,,,Tally,,View Incident,,,,,,,,,,
INC-050,FAC-005,University of Palestine,17/01/2024,17/01/24,Demolition,,Forces detonated more than 300 mines at the university,,https://www.middleeasteye.net/explainer-gaza-israel-palestine-war-university-destroy,https://genocide.live/14500,,Yes,"https://www.reutersconnect.com/item/smoke-rises-from-the-islamic-university-building-in-gaza-city/dGFnOnJldXRlcnMuY29tLDIwMjU6bmV3c21sX1JDMlJSR0FNMEY3Tw , https://www.instagram.com/p/DOlb9jIjSFY/ ",,https://x.com/Israel_katz/status/1967210017008013424?s=20,,,,,,Tally,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,No,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,View Incident,,,,,,,,,,
